city,locality,property_type,price_per_sqft_inr
Surat,Adajan,Apartment,6000.0
Surat,Adajan,Bungalow,8748.0
Surat,Adajan,Commercial,4095.0
Surat,Adajan,Flat,6000.0
Surat,Adajan,House,7938.0
Surat,Adajan,Office,8100.0
Surat,Adajan,Penthouse,8100.0
Surat,Adajan,Plot,3300.0
Surat,Adajan,Retail,3900.0
Surat,Adajan,Shop,3900.0
Surat,Adajan,Showroom,4368.0
Surat,Adajan,Studio,5520.0
Surat,Adajan,Villa,8100.0
Surat,Adajan,Warehouse,2808.0
Surat,Althan,Apartment,4300.0
Surat,Althan,Bungalow,4752.0
Surat,Althan,Commercial,4620.0
Surat,Althan,Flat,4300.0
Surat,Althan,House,4312.0
Surat,Althan,Office,4400.0
Surat,Althan,Penthouse,5805.0
Surat,Althan,Plot,2365.0
Surat,Althan,Retail,4400.0
Surat,Althan,Shop,4400.0
Surat,Althan,Showroom,4928.0
Surat,Althan,Studio,3956.0
Surat,Althan,Villa,4400.0
Surat,Althan,Warehouse,3168.0
Surat,Amroli,Apartment,1950.0
Surat,Amroli,Bungalow,2106.0
Surat,Amroli,Commercial,2047.5
Surat,Amroli,Flat,1950.0
Surat,Amroli,House,1911.0
Surat,Amroli,Office,1950.0
Surat,Amroli,Penthouse,2632.5
Surat,Amroli,Plot,1072.5
Surat,Amroli,Retail,1950.0
Surat,Amroli,Shop,1950.0
Surat,Amroli,Showroom,2184.0
Surat,Amroli,Studio,1794.0
Surat,Amroli,Villa,1950.0
Surat,Amroli,Warehouse,1404.0
Surat,Bharthana,Apartment,4800.0
Surat,Bharthana,Bungalow,7344.0
Surat,Bharthana,Commercial,7140.0
Surat,Bharthana,Flat,4800.0
Surat,Bharthana,House,6664.0
Surat,Bharthana,Office,6800.0
Surat,Bharthana,Penthouse,6480.0
Surat,Bharthana,Plot,2640.0
Surat,Bharthana,Retail,6800.0
Surat,Bharthana,Shop,6800.0
Surat,Bharthana,Showroom,7616.0
Surat,Bharthana,Studio,4416.0
Surat,Bharthana,Villa,6800.0
Surat,Bharthana,Warehouse,4896.0
Surat,Bhestan,Apartment,2750.0
Surat,Bhestan,Bungalow,2970.0
Surat,Bhestan,Commercial,2887.5
Surat,Bhestan,Flat,2750.0
Surat,Bhestan,House,2695.0
Surat,Bhestan,Office,2750.0
Surat,Bhestan,Penthouse,3712.5
Surat,Bhestan,Plot,1512.5
Surat,Bhestan,Retail,2750.0
Surat,Bhestan,Shop,2750.0
Surat,Bhestan,Showroom,3080.0
Surat,Bhestan,Studio,2530.0
Surat,Bhestan,Villa,2750.0
Surat,Bhestan,Warehouse,1980.0
Surat,Bhimrad,Apartment,4250.0
Surat,Bhimrad,Bungalow,4968.0
Surat,Bhimrad,Commercial,4830.0
Surat,Bhimrad,Flat,4250.0
Surat,Bhimrad,House,4508.0
Surat,Bhimrad,Office,4600.0
Surat,Bhimrad,Penthouse,5737.5
Surat,Bhimrad,Plot,2337.5
Surat,Bhimrad,Retail,4600.0
Surat,Bhimrad,Shop,4600.0
Surat,Bhimrad,Showroom,5152.0
Surat,Bhimrad,Studio,3910.0
Surat,Bhimrad,Villa,4600.0
Surat,Bhimrad,Warehouse,3312.0
Surat,City Light,Apartment,4150.0
Surat,City Light,Bungalow,6048.0
Surat,City Light,Commercial,4357.5
Surat,City Light,Flat,4150.0
Surat,City Light,House,5488.0
Surat,City Light,Penthouse,5602.5
Surat,City Light,Plot,2282.5
Surat,City Light,Retail,4150.0
Surat,City Light,Shop,4150.0
Surat,City Light,Showroom,4648.0
Surat,City Light,Studio,3818.0
Surat,City Light,Villa,5600.0
Surat,City Light,Warehouse,2988.0
