district,state,city,locality,property_type,price_per_sqft_inr,rent_per_sqft_inr,yield_pct,price_change_qoq_pct,source,fetched_at
Surat,Gujarat,Surat,Adajan,Apartment,6000,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Adajan,Villa,8100,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Adajan,Shop,3900,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Adajan,Office,8100,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Althan,Apartment,4300,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Althan,Villa,4400,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Althan,Shop,4400,,,-2.56,https://www.squareyards.com/property-rates/althan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Amroli,Apartment,1950,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Amroli,Villa,1950,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Amroli,Shop,1950,,,-23.1,https://www.squareyards.com/property-rates/amroli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bharthana,Apartment,4800,,,,https://www.squareyards.com/property-rates/bharthana-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bharthana,Villa,6800,,,,https://www.squareyards.com/property-rates/bharthana-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bharthana,Shop,6800,,,,https://www.squareyards.com/property-rates/bharthana-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhestan,Apartment,2750,,,,https://www.squareyards.com/property-rates/bhestan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhestan,Villa,2750,,,,https://www.squareyards.com/property-rates/bhestan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhestan,Shop,2750,,,,https://www.squareyards.com/property-rates/bhestan-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhimrad,Apartment,4250,,,-3.08,https://www.squareyards.com/property-rates/bhimrad-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhimrad,Villa,4600,,,-3.08,https://www.squareyards.com/property-rates/bhimrad-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Bhimrad,Shop,4600,,,-3.08,https://www.squareyards.com/property-rates/bhimrad-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,City Light,Apartment,4150,,,,https://www.squareyards.com/property-rates/city-light-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,City Light,Villa,5600,,,,https://www.squareyards.com/property-rates/city-light-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dindoli,Apartment,2950,,,3.62,https://www.squareyards.com/property-rates/dindoli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dindoli,Villa,2700,,,3.62,https://www.squareyards.com/property-rates/dindoli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dindoli,Shop,2700,,,3.62,https://www.squareyards.com/property-rates/dindoli-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas,Apartment,4600,,,,https://www.squareyards.com/property-rates/dumas-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas,Villa,4600,,,,https://www.squareyards.com/property-rates/dumas-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas,Shop,4600,,,,https://www.squareyards.com/property-rates/dumas-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas Road,Apartment,4750,,,,https://www.squareyards.com/property-rates/dumas-road-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas Road,Villa,4750,,,,https://www.squareyards.com/property-rates/dumas-road-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Dumas Road,Shop,4750,,,,https://www.squareyards.com/property-rates/dumas-road-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Ghod Dod Road,Apartment,5400,,,,https://www.squareyards.com/property-rates/ghod-dod-road-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Ghod Dod Road,Villa,5400,,,,https://www.squareyards.com/property-rates/ghod-dod-road-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Godadara,Apartment,2312,,,,https://www.squareyards.com/property-rates/godadara-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Godadara,Villa,3515,,,,https://www.squareyards.com/property-rates/godadara-surat,2026-06-25T12:57:25.140609+00:00
Surat,Gujarat,Surat,Jahangir Pura,Apartment,3700,,,7.49,https://www.squareyards.com/property-rates/jahangir-pura-surat,2026-06-25T12:57:25.140609+00:00
