district,state,city,locality,property_type,category,price_per_sqft_inr,rent_per_sqft_inr,yield_pct,price_change_qoq_pct,source,fetched_at,data_source,area_sqft,bhk,bath,price_lakhs,locality_key
Surat,Gujarat,Surat,Adajan,Apartment,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,33.0,adajan
Surat,Gujarat,Surat,Adajan,Apartment,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,63.0,adajan
Surat,Gujarat,Surat,Adajan,Apartment,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,87.0,adajan
Surat,Gujarat,Surat,Adajan,Apartment,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,120.0,adajan
Surat,Gujarat,Surat,Adajan,Flat,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,550,1,1,33.0,adajan
Surat,Gujarat,Surat,Adajan,Flat,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1050,2,2,63.0,adajan
Surat,Gujarat,Surat,Adajan,Flat,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1450,3,3,87.0,adajan
Surat,Gujarat,Surat,Adajan,Flat,residential,6000.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2000,4,4,120.0,adajan
Surat,Gujarat,Surat,Adajan,Studio,residential,5520.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,400,1,1,22.08,adajan
Surat,Gujarat,Surat,Adajan,Studio,residential,5520.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,500,1,1,27.6,adajan
Surat,Gujarat,Surat,Adajan,Penthouse,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1800,3,3,145.8,adajan
Surat,Gujarat,Surat,Adajan,Penthouse,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,4,4,202.5,adajan
Surat,Gujarat,Surat,Adajan,Penthouse,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3200,5,5,259.2,adajan
Surat,Gujarat,Surat,Adajan,Villa,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,1500,2,2,121.5,adajan
Surat,Gujarat,Surat,Adajan,Villa,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2200,3,3,178.2,adajan
Surat,Gujarat,Surat,Adajan,Villa,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3000,4,4,243.0,adajan
Surat,Gujarat,Surat,Adajan,Villa,residential,8100.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,4500,5,5,364.5,adajan
Surat,Gujarat,Surat,Adajan,Bungalow,residential,8748.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,2500,3,3,218.7,adajan
Surat,Gujarat,Surat,Adajan,Bungalow,residential,8748.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,3500,4,4,306.18,adajan
Surat,Gujarat,Surat,Adajan,Bungalow,residential,8748.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,5000,5,5,437.4,adajan
Surat,Gujarat,Surat,Adajan,Bungalow,residential,8748.0,,,2.93,https://www.squareyards.com/property-rates/adajan-surat,2026-06-25T12:57:25.140609+00:00,locality_synthetic,6500,6,6,568.62,adajan
